,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
51,1993,regular,Frank Brickowski,Center,34,TOT,71,46,2.5,3.4,13.2
54,1993,regular,Kevin Brooks,Small Forward,24,DEN,34,0,0.4,0.6,2.5
55,1993,regular,Scott Brooks,Point Guard,28,HOU,73,0,0.8,1.3,5.2
56,1993,regular,Chucky Brown,Small Forward,25,DAL,1,0,0.0,2.0,3.0
57,1993,regular,Dee Brown,Shooting Guard,25,BOS,77,76,1.6,2.7,15.5
58,1993,regular,Mike Brown,Center,30,MIN,82,40,0.9,2.7,3.6
59,1993,regular,P.J. Brown,Center,24,NJN,79,54,0.9,2.2,5.7
60,1993,regular,Randy Brown,Point Guard,25,SAC,61,2,1.2,2.2,4.5
61,1993,regular,Mark Bryant,Center,28,POR,79,10,0.8,2.4,5.6
62,1993,regular,Jud Buechler,Small Forward,25,GSW,36,0,0.3,0.7,2.9
63,1993,regular,Matt Bullard,Power Forward,26,HOU,65,0,0.4,1.0,3.5
64,1993,regular,Evers Burns,Power Forward,22,SAC,23,0,0.3,1.4,2.4
65,1993,regular,Scott Burrell,Small Forward,23,CHH,51,16,0.9,1.7,4.8
66,1993,regular,Willie Burton,Small Forward,25,MIA,53,1,1.0,1.8,7.0
67,1993,regular,Mitchell Butler,Shooting Guard,23,WSB,75,19,1.2,1.7,6.9
68,1993,regular,Michael Cage,Center,32,SEA,82,42,0.6,2.2,4.6
69,1993,regular,Elden Campbell,Power Forward,25,LAL,76,74,1.3,3.2,12.3
70,1993,regular,Tony Campbell,Small Forward,31,TOT,63,14,1.3,2.1,8.8
73,1993,regular,Antoine Carr,Power Forward,32,SAS,34,0,0.4,2.2,5.8
74,1993,regular,Bill Cartwright,Center,36,CHI,42,41,1.2,2.0,5.6
75,1993,regular,Sam Cassell,Point Guard,24,HOU,66,6,1.4,2.1,6.7
76,1993,regular,Duane Causwell,Center,25,SAC,41,8,0.8,2.7,4.4
