,Player,Injury,Length,Date
411,Vladimir Malakhov,knee injury ,out indefinitely,2461
412,Scott Barney,back injury ,out indefinitely,2462
413,Jaroslav Obsut,knee injury ,out indefinitely),2465
414,Frantisek Musil  Frank Musil,neck injury ,out indefinitely,2466
415,Kirk Maltby,hernia ,out indefinitely,2469
416,Brian Skrudland,rib injury ,DTD,2472
417,Shawn Chambers,knee injury ,out indefinitely,2472
418,Ed Olczyk  Eddie Olczyk,hernia ,out indefinitely,2480
419,Jere Lehtinen,leg injury ,out indefinitely,2480
420,Maxim Galanov,hand injury ,out indefinitely,2481
421,Rob Zettler,concussion ,out indefinitely,2485
422,Steve Staios,knee injury ,2653,2487
423,Saku Koivu,shoulder injury ,out indefinitely,2494
424,Brad Bombardir,esophagus injuruy ,out indefinitely,2494
425,Luc Robitaille,fractured left foot ,out 2-6 weeks,2480
426,Jozef Stumpel,hernia ,out 8-10 weeks,2481
427,Kelly Chase,knee injury ,out indefinitely,2483
428,Jozef Stumpel,surgery to repair hernia,3025,2483
429,Darren McCarty,hernia ,2183,2485
430,Ken Belanger,head injury ,out indefinitely,2486
431,Bryan Muir,leg injury ,2679,2492
432,Darren Turcotte,knee injury ,out indefinitely,2493
433,Murray Craven,abdominal injury ,out for season,2493
434,Brian Savage,neck injury ,out indefinitely,2495
435,Dave Lowry,shoulder injury ,out indefinitely,2498
436,Sami Salo,wrist injury ,2907,2503
437,Darren Langdon,hernia ,out indefinitely,2506
438,Mark Janssens,back injury ,out indefinitely,2508
439,Jan Vopat,skin allergy ,out for season,2515
440,Steve Dubinsky,knee injury ,out for season,2517
441,Sergey Gusev  Sergei Gusev,knee injury ,out indefinitely,2524
442,Jeff Zehr,knee injury ,out indefinitely,2527
443,Cory Stillman,shoulder injury ,out indefinitely,2532
444,Andreas Johansson,back injury ,out indefinitely,2558
445,Phil Crowe,knee injury ,out indefinitely,2558
446,Paul Comrie,head injury ,out for season,2563
447,Jason Allison,thumb injury ,out indefinitely,2564
448,Steve Smith,neck injury ,out indefinitely,2568
449,Bill Muckalt,shoulder injury ,out indefinitely,2569
450,Andrei Zyuzin,shoulder injury ,out indefinitely,2569
451,Reid Simpson,jaw injury ,out indefinitely,2569
452,Aaron Ward,shoulder injury ,3290,2575
453,Trent McCleary,throat injury ,out indefinitely,2585
454,Denis Gauthier,hip injury ,2200,2588
455,John Jakopin,groin injury ,out indefinitely,2588
456,Tom Chorske,thumb injury ,out indefinitely,2590
457,Wade Belak,shoulder injury ,out indefinitely,2597
458,Stewart Malgunas,head injury ,out indefinitely,2601
459,Randy Cunneyworth,knee injury ,out for season,2605
460,Patrick Cote,surgery on hand,Unknown,2611
461,Frantisek Musil  Frank Musil,surgery on neck to repair nerve damage,Unknown,2612
462,Alexei Gusarov,leg injury ,out indefinitely,2614
463,Donald Brashear,concussion ,out 20 games),2617
464,Bryan Berard,eye injury ,out indefininitely,2627
465,Mike Grier,surgery to repair torn left triceps muscle,Unknown,2639
466,Boyd Devereaux,concussion ,out indefinitely,2649
467,Bryan Smolinski,torn MCL in right knee ,out 4-6 weeks,2652
468,Bill Ranford,strained hamstring ,DTD,2652
469,Ethan Moreau,surgery on shoulder to repair chronic dislocations,Unknown,2701
470,Eric Lindros,head injury ,out indefinitely,2703
471,Josh Green,dislocated left shoulder ,out indefinitely,2811
472,Mike Grier,infected right hand,1861,2811
473,Josh Green,reconstructive surgery on left shoulder ,2256,2820
474,Stephane Fiset,knee injury ,out indefinitely,2822
475,Nick Smith,knee injury ,out indefinitely,2825
476,Stephen Peat,groin injury ,out indefinitely,2829
477,Marc Bergevin,thumb injury ,out indefinitely,2835
478,Mike Van Ryn,shoulder injury ,out indefinitely,2835
479,Ronald Petrovicky,wrist injury ,out indefinitely,2835
480,John LeClair,back injury ,out indefinitely,2837
481,Hans Jonsson,bruised foot ,6,2837
482,Gord Murphy,shoulder injury ,out indefinitely,2837
483,Sergey Gusev  Sergei Gusev,knee injury ,out indefinitely,2840
484,John LeClair,recovering from back surgery to repair herniated disc,Unknown,2841
485,Jamie Huscroft,head injury ,out indefinitely,2843
486,Chris Dingman,knee injury ,out indefinitely,2856
487,Artem Chubarov,shoulder injury ,out indefinitely,2856
488,Steve Rucchin,jaw injury ,out indefinitely,2856
489,Paul Laus,hernia ,out indefinitely,2856
490,Janne Laukkanen,sprained knee ,838,2857
491,Christian Laflamme,groin injury ,out indefinitely,2884
492,Josef Beranek,strained shoulder ,DTD,2884
493,Krzysztof Oliwa,broken arm ,DTD,2937
494,Gino Odjick,wrist injury ,out indefinitely,2938
495,Jason Ward,knee injury ,out indefinitely,2938
496,Josef Beranek,strained groin ,DTD,2943
497,Serge Payer,back injury ,out indefinitely),3166
498,Saku Koivu,non-Hodgkin's lymphoma ,1557,3171
499,Kyle Freadrich,head injury ,out indefinitely,3196
500,Jesse Wallin,groin injury ,out indefinitely,3196
501,Cam Stewart,head injury ,out for season,3196
502,Mike Crowley,Achilles tendon injury ,out indefinitely,3197
503,Valeri Zelepukin,knee injury ,out indefinitely,3199
504,Jiri Dopita,sprained MCL in left knee ,out indefinitely,3199
505,Denis Shvidki,head injury ,out indefinitely,3199
506,Pavel Brendl,sprained right ankle ,DTD,3199
507,Mario Lemieux,hip flexor injury ,8,3201
508,Jarno Kultanen,knee injury ,out indefinitely,3203
509,Kyle McLaren,chest injury ,1887,3205
510,Toby Petersen,dehydration ,DTD,3209
511,Ricard Persson  Rico Persson,ankle injury ,out indefinitely,3220
512,Kent Manderville,ankle injury ,out indefinitely,3222
513,Mario Lemieux,hip flexor injury ,DTD,3223
514,Martin Straka,broken leg ,out indefinitely,3223
515,Patrick Traverse,knee injury ,out indefinitely,3209
516,Joey Tetarenko,jaw injury ,out indefinitely,3209
517,Grant Ledyard,concussion ,DTD,3210
518,Calle Johansson,rotator cuff injury ,out indefinitely,3216
519,Radek Martinek,knee injury ,out indefinitely,3217
520,Luke Richardson,fractured right foot ,out indefinitely,3219
521,Stephane Richer,foot injury ,7,3220
522,Steve Thomas,ankle injury ,out indefinitely,3221
523,Brian Boucher,strained left hamstring ,24,3221
524,Steve Rucchin,leg injury ,1999,3222
525,Sheldon Souray,wrist injury ,out indefinitely,3223
526,Mario Lemieux,hip injury ,DTD,3223
527,Tommy Westlund,back injury ,out indefinitely,3225
528,Trent Klatt,abdominal injury ,out indefinitely,3226
529,Brad Ralph,shoulder injury ,out indefinitely,3244
530,Josef Melichar,bruised hip ,132,3244
531,Mark Messier,back injury ,out indefinitely,3244
532,Garrett Burnett,knee injury ,out indefinitely,3302
533,Paul Laus,wrist injury ,out for season,3307
534,Milan Kraft,flu ,2,3308
535,Martin St. Louis,fractured right fibula ,out indefinitely,3310
536,Stephane Richer,strained muscle ,DTD,3310
