,Player,Injury,Length,Date
1618,Drew Stafford,upper body injury ,out indefinitely,7673
1619,David Booth,undisclosed ,1423,7677
1620,Daniel Alfredsson,back spasms ,97,7681
1621,Matt Greene,concussion ,DTD,7685
1622,Drayson Bowman,lower body injury ,DTD,7688
1623,David Schlemko,upper body injury ,1036,7692
1624,Adam Henrique,sore left thumb ,9,7692
1625,Mikhail Grabovski,left ankle injury ,DTD,7695
1626,Tom Sestito,illness ,DTD,7701
1627,Mike Green David,head injury ,DTD,7701
1628,Anton Volchenkov,lower body injury ,DTD,7704
1629,Martin Hanzal,illness ,DTD,7708
1630,Nail Yakupov,ankle injury ,DTD,7730
1631,Brenden Dillon,lower body injury ,DTD,7730
1632,Marian Hossa,upper body injury ,965,7731
1633,Teemu Selanne,flu ,DTD,7734
1634,T. Galiardi,upper body injury ,DTD,7734
1635,Eric Boulton,fractured / bruised ,CBC) right hand,7734
1636,Chris Thorburn,facial injury ,1104,7734
1637,Mark Scheifele,sprained MCL in knee ,out for season,7734
1638,Colton Orr,undisclosed ,DTD,7734
1639,Darren Helm,head injury ,DTD,7734
1640,Niklas Backstrom,strained abdominal muscle ,out for season,7734
1641,Chris Stewart ,right knee injury ,1128,7736
1642,Torrey Mitchell,bruised foot ,951,7736
1643,Zemgus Girgensons,lower body injury ,DTD,7736
1644,Clarke MacArthur,bruised hand ,DTD,7736
1645,Nikita Nikitin,head injury ,DTD,7737
1646,Brooks Laich,strained groin ,DTD,7740
1647,Zac Rinaldo,upper body injury ,DTD,7740
1648,Vladimir Tarasenko,recovering from surgery on right hand ,out for season,7745
1649,Brooks Laich,groin injury ,DTD,7745
1650,Jiri Tlusty,lower body injury ,DTD,7745
1651,Jim Slater,lower body injury ,DTD,7745
1652,Tim Sestito,upper body injury ,DTD,7750
1653,Nathan Horton,lower body injury ,DTD,7760
1654,Stephen Gionta,lower body injury ,DTD,7760
1655,Kimmo Timonen,facial injury ,DTD,7760
1656,Al Montoya,lower body injury ,704,7760
1657,Keaton Ellerby,lower body injury ,out for season,7760
1658,Dwight King,undisclosed ,DTD,7760
1659,Luke Gazdic,surgery on shoulder ,out for season,7760
1660,Jared Cowen,lower body injury ,340,7760
1661,Jason Spezza,lower body injury ,DTD,7760
1662,Darcy Kuemper,upper body injury ,383,7760
1663,Patrick Wey,head injury ,out for season,7761
1664,Ryane Clowe,head injury ,out for season,7761
1665,Alexander Semin,illness ,DTD,7761
1666,Jiri Tlusty,upper body injury ,DTD,7761
1667,Cory Sarich,back injury ,out for season,7763
1668,Johnny Oduya,lower body injury ,1070,7763
1669,Jonathan Bernier,sprained MCL in knee ,251,7764
1670,Jussi Jokinen,upper body injury ,220,7765
1671,Martin Hanzal,lower body injury ,out for season,7768
1672,Ondrej Palat,upper body injury ,DTD,7773
1673,Matt Bartkowski,wrist injury ,683,7778
1674,Matt Beleskey,lower body injury ,DTD,7778
1675,Ondrej Palat,upper body injury ,225,7778
1676,J. Miller,upper body injury ,DTD,7817
1677,Ryan Nugent-Hopkins,undisclosed injury ,5,7955
1678,Teddy Purcell,undisclosed injury ,520,7955
1679,Mats Zuccarello,shoulder injury ,1475,7955
1680,Marcus Foligno,undisclosed injury ,420,7955
1681,Shawn Thornton,lower body injury ,DTD,7956
1682,Ryan Wilson,undisclosed injury ,DTD,7957
1683,David Jones,lower body injury ,DTD,7957
1684,Marian Gaborik,upper body injury ,DTD,7957
1685,Radko Gudas,lower body injury ,DTD,7957
1686,Mikhail Grabovski,upper body injury ,DTD,7960
1687,Zach Bogosian,upper body injury ,DTD,7971
1688,Robyn Regehr,undisclosed ,7,7962
1689,Roman Polak,lower body injury ,DTD,7977
1690,Cody McCormick,concussion ,DTD,7977
1691,Calvin de Haan,illness ,DTD,7978
1692,Matt Hendricks,leg injury ,DTD,7981
1693,Matt Cullen,upper body injury ,DTD,7981
1694,Bobby Ryan,fractured finger ,DTD,7983
1695,John Mitchell ,leg injury ,DTD,7984
1696,Marc-Andre Cliche,undisclosed injury ,DTD,7984
1697,Shawn Thornton,groin injury ,DTD,7985
1698,Cal Clutterbuck,lower body injury ,DTD,7988
1699,Josh Bailey,undisclosed ,DTD,7988
1700,Marc Methot,undisclosed injury ,508,7990
1701,Mark Stone,bruised foot ,0,7990
1702,Derick Brassard,mumps ,DTD,7998
1703,Duncan Keith,illness ,DTD,7999
1704,Lauri Korpikoski,lower body injury ,DTD,7999
1705,Jacob Trouba,upper body injury ,DTD,7999
1706,Ben Bishop,lower body injury ,DTD,7999
1707,Johan Franzen,illness ,DTD,7999
1708,Tyler Myers,lower body injury ,DTD,8005
1709,Radko Gudas,lower body injury ,DTD,8015
1710,Olli Jokinen,undisclosed injury ,DTD,8065
1711,Alex Chiasson,undisclosed injury ,DTD,8065
1712,Matt Calvert,illness ,DTD,8066
1713,Martin Hanzal,upper body injury ,DTD,8066
1714,Jiri Hudler,illness ,353,8066
1715,Ryan Getzlaf,lower body injury ,DTD,8071
1716,Jonas Gustavsson,bruised shoulder ,DTD,8077
1717,Alexander Edler  Alex Edler,upper body injury / lower body injury,Unknown,8081
1718,J. Brown,illness ,DTD,8090
1719,Nail Yakupov,groin injury ,DTD,8090
1720,Erik Gudbranson,flu/illness ,DTD,8099
1721,Jaromir Jagr,illness ,266,8099
1722,Eric Nystrom,lower body injury ,out for season,8099
1723,Nino Niederreiter,lower body injury ,DTD,8099
1724,Nathan MacKinnon,fractured foot ,out for season,8100
1725,David Jones,lower body injury ,DTD,8100
1726,Bryan Little,upper body injury ,DTD,8100
1727,Steve Downie,undisclosed injury ,DTD,8100
1728,Chad Johnson ,lower body injury ,out for season,8100
1729,Nick Leddy,lower ,Y) / upper,8104
1730,Olli Jokinen,upper body injury ,DTD,8104
1731,Tyler Myers,upper body injury ,DTD,8107
1732,Carl Gunnarsson,upper body injury ,DTD,8116
1733,Dougie Hamilton,undisclosed ,out for season,8116
1734,Erik Cole,upper body injury ,out for season,8119
1735,Alexander Semin,hamstring injury ,DTD,8122
1736,Kris Letang,concussion ,out for season,8123
1737,Rasmus Ristolainen,flu ,DTD,8126
1738,Frans Nielsen,undisclosed ,1073,8132
1739,Matt Martin Bryan,upper body injury ,DTD,8132
1740,Chris Neil,fractured left thumb ,DTD,8134
1741,Nino Niederreiter,general soreness ,DTD,8134
1742,Thomas Vanek,general soreness ,1426,8134
1743,Zach Parise,general soreness ,DTD,8134
1744,Leo Komarov,upper body injury ,out for season,8136
1745,Roman Josi,lower body injury ,out for season,8136
1746,Shea Weber,lower body injury ,DTD,8136
1747,Kris Versteeg,lower body injury ,DTD,8156
1748,Justin Fontaine,leg injury ,out for season,8157
1749,David Desharnais,flu ,DTD,8158
1750,Beau Bennett,undisclosed ,DTD,8323
1751,Jiri Tlusty,upper body injury ,DTD,8339
1752,John Tavares,illness ,DTD,8339
1753,Steve Ott,upper body injury ,DTD,8324
1754,Rickard Rakell,upper body injury ,DTD,8324
1755,Steve Downie,upper body injury ,DTD,8329
1756,Jyrki Jokipakka,lower body injury ,5,8331
1757,Brandon Dubinsky,upper body injury ,DTD,8332
1758,Nick Spaling,upper body injury ,DTD,8336
1759,Nick Bonino,undisclosed ,1112,8336
1760,Rob Scuderi,undisclosed ,DTD,8336
1761,Zemgus Girgensons,upper body injury ,DTD,8336
1762,Cody Goloubef,mouth/jaw injury ,DTD,8340
1763,Fedor Tyutin  Fedor Tjutin,upper body injury ,139,8340
1764,Marcus Johansson,lower body injury ,DTD,8354
1765,Trevor Lewis,upper body injury ,DTD,8354
1766,Kris Letang,undisclosed injury ,DTD,8354
1767,Yanni Gourde,upper body injury ,DTD),8369
1768,Dylan Larkin,upper body injury ,1159,8375
1769,James van Riemsdyk,fractured foot ,out for season,8411
1770,Aaron Ekblad,upper body injury ,435,8411
1771,Jacob de la Rose,flu ,DTD,8423
1772,Nicklas Grossmann,illness ,DTD,8423
1773,Sergey Kalinin  Sergei Kalinin,illness ,DTD,8423
1774,Alexander Ovechkin  Alex Ovechkin,lower body injury ,DTD,8428
1775,Michal Rozsival,lower body injury ,42,8432
1776,Calvin de Haan,lower body injury ,DTD,8447
1777,Nikita Kucherov,lower body injury ,252,8452
1778,Ben Lovejoy,upper body injury ,DTD,8452
1779,Justin Faulk,undisclosed ,DTD,8456
1780,Kyle Turris,high ankle sprain ,out for season,8460
1781,Jannik Hansen,undisclosed injury ,388,8461
1782,Anthony Peluso,upper body injury ,out for season,8464
1783,Nikolaj Ehlers  Nik Ehlers,eye injury ,DTD,8464
1784,Carl Hagelin,undisclosed injury ,DTD,8466
1785,Marc Staal,back spasms ,686,8466
1786,,illness ,DTD,8466
1787,Pavel Datsyuk,illness ,2,8466
1788,Patrick Wiercioch,undisclosed injury ,DTD,8466
1789,Chris Bigras,concussion ,DTD,8467
1790,Darren Helm,flu ,DTD,8473
1791,Niklas Kronwall,sprained knee ,DTD,8473
1792,Jussi Jokinen,lower body injury ,DTD,8475
1793,Anthony Bitetto,lower body injury ,DTD,8478
1794,Carlo Colaiacovo,lower body injury ,DTD,8478
1795,Robin Lehner,ankle injury ,out for season,8478
1796,Marc-Edouard Vlasic,lower body injury ,out for season,8478
1797,Matt Nieto,fractured knuckles ,685,8478
1798,Tyler Seguin,Achilles injury ,DTD,8478
1799,Darcy Kuemper,upper body injury ,978,8478
1800,Eric Gelinas,elbow injury ,out for season,8479
1801,Nathan MacKinnon,knee injury ,DTD,8479
1802,Curtis McElhinney,surgery on knee ,out for season,8479
1803,Alexander Wennberg  Alex Wennberg,undisclosed injury ,714,8480
1804,Sven Andrighetto,upper body injury ,257,8480
1805,Victor Bartley,lower body injury ,out for season,8480
1806,Nicklas Grossmann,lower body injury ,DTD,8480
1807,John Moore,knee injury ,DTD,8480
1808,Jon Merrill,upper body injury ,out for season,8480
1809,Chris Neil,illness ,DTD,8482
1810,Kris Russell,lower body injury ,29,8482
1811,Kevin Bieksa,upper body injury ,DTD,8485
1812,Anton Stralman,fractured left fibula ,DTD,8485
1813,Josh Jooris,lower body injury ,203,8488
1814,Jyrki Jokipakka,undisclosed injury ,DTD,8488
1815,Brett Connolly,lower body injury ,out for season,8491
1816,Nathan Beaulieu,fractured thumb ,out for season,8491
1817,Sven Baertschi,lower body injury ,out for season,8492
1818,Nicklas Backstrom,upper body injury ,DTD,8492
1819,Martin Hanzal,upper body injury ,976,8492
1820,Frederik Andersen,concussion ,8,8492
1821,Hampus Lindholm,illness ,DTD,8492
1822,Rickard Rakell,appendicitis ,232,8492
1823,Marc-Andre Fleury,concussion ,1097,8493
1824,Marcus Johansson,lower body injury ,DTD,8675
1825,Nicholas Shore  Nick Shore,undisclosed injury ,DTD,8675
1826,Johan Franzen,concussion-like symptoms ,DTD,8675
1827,Dmitry Kulikov,middle body injury ,DTD,8675
1828,Zach Bogosian,groin injury ,DTD,8675
1829,Jon Merrill,lower body injury ,DTD,8677
1830,Brandon Davidson,upper body injury ,DTD,8677
1831,Victor Bartley,torn triceps ,DTD,8677
1832,Joonas Korpisalo,groin injury ,DTD,8680
1833,Brandon Manning,upper body injury ,DTD,8680
1834,Scott Laughton,lower body injury ,DTD,8680
1835,Nick Bjugstad,fractured hand ,DTD,8680
1836,Ryan 'Reilly,back injury ,DTD,8680
1837,Michael Del Zotto,lower body injury ,out indefinitely,8681
1838,Jake Allen,lower body injury ,DTD,8683
1839,Anton Rodin,knee injury ,DTD,8683
1840,Jonathan Huberdeau,leg injury ,out indefinitely,8683
1841,Sidney Crosby,concussion ,out indefinitely,8683
1842,Kevin Klein,back spasms ,DTD,8684
1843,Brian Flynn,neck injury ,DTD,8687
1844,Jonas Gustavsson,head injury / concussion-like symptoms ,DTD,8691
1845,Pavel Buchnevich,back spasms ,DTD,8691
1846,Jared Spurgeon,upper body injury ,DTD,8695
1847,Fedor Tyutin  Fedor Tjutin,groin injury ,DTD,8696
1848,Trevor van Riemsdyk,upper body injury ,DTD,8696
1849,Jonathan Bernier,upper body injury ,519,8700
1850,Ryan Getzlaf,upper body injury ,858,8700
1851,Drew Stafford,upper body injury ,486,8700
1852,Matt Hunwick,lower body injury ,407,8700
1853,Tyler Myers,lower body injury ,DTD,8704
1854,Andy Andreoff,upper body injury ,DTD,8704
1855,Chris Wideman,upper body injury ,DTD,8688
1856,Alexander Edler  Alex Edler,upper body injury ,DTD,8689
1857,Chris Neil,upper body injury ,DTD,8694
1858,Melker Karlsson,ankle injury ,1091,8698
1859,Niklas Kronwall,knee injury ,DTD,8699
1860,Patric Hornqvist,concussion ,DTD,8702
1861,Mike Hoffman  1989-11-,undisclosed injury ,DTD,8702
1862,Dalton Prout,back spasms ,DTD,8703
1863,Joseph Cramarossa,lower body injury ,DTD,8703
1864,Sven Baertschi,lacerated foot ,DTD,8710
1865,Robin Lehner,hip injury ,703,8715
1866,Marc Methot,lower body injury ,DTD,8715
1867,Matt Beleskey,right knee injury ,DTD,8720
1868,Ryan Miller ,ankle injury ,DTD,8724
1869,Marc-Edouard Vlasic,lower body injury ,DTD,8728
1870,Cedric Paquette,lower body injury ,DTD,8737
1871,Vladislav Namestnikov,illness ,DTD,8737
1872,Roberto Luongo,undisclosed injury ,DTD,8737
1873,Cody Franson,lower body injury ,DTD,8737
1874,Zach Parise,illness ,DTD,8737
1875,Johan Larsson,dislocated wrist ,out for season,8746
1876,Paul Byron,upper body injury ,4,8771
1877,James Neal,upper body injury ,807,8771
1878,Jayson Megna,illness ,DTD,8783
1879,Garnet Hathaway,upper body injury ,DTD,8783
1880,Joonas Donskoi,upper body injury ,39,8790
1881,Stephen Johns  1992-04-,illness ,DTD,8813
1882,Brock McGinn,undisclosed injury ,DTD,8823
1883,Jordan Nolan,leg injury ,DTD,8823
1884,Brock McGinn,upper body injury ,DTD,8826
1885,Michael Grabner,hip injury ,DTD,8826
1886,Artem Anisimov Alekseevich,lower body injury ,DTD,8827
1887,Nick Schmaltz,illness ,DTD,8827
1888,Johnny Boychuk,foot injury ,DTD,8829
1889,Nicholas Shore  Nick Shore,upper body injury ,DTD,8829
1890,Kris Russell,upper body injury ,DTD,8829
1891,Ryan Ellis,lower body injury ,DTD,8829
1892,David Schlemko,lower body injury ,DTD,8829
1893,Colton Parayko,undisclosed injury ,DTD,8836
1894,Christopher Tanev  Chris Tanev,food poisoning ,307,8836
1895,Markus Granlund,food poisoning ,DTD,8836
1896,Devante Smith-Pelly,lower body injury ,DTD,8836
1897,Brandon Manning,upper body injury ,DTD,8838
1898,Jacob Trouba,upper body injury ,DTD,8838
1899,Nick Cousins,upper body injury ,DTD,8841
1900,Marc Methot,finger injury ,DTD,8849
1901,Chad Ruhwedel,upper body injury ,DTD,8851
1902,Logan Couture,mouth injury ,out for season,8851
1903,Kyle Okposo,illness ,out for season,8853
1904,Brady Skjei,undisclosed injury ,DTD,8861
1905,Nick Holden,undisclosed injury ,DTD,8861
1906,Anders Nilsson,undisclosed injury ,DTD,8861
1907,Jared Spurgeon,lower body injury ,DTD,8861
1908,David Krejci,lower body injury ,out for season,8879
1909,Simon Despres,concussion-like symptoms ,out for season,8882
1910,Tom Kuhnhackl,lower body injury ,out for season,8903
1911,Niklas Kronwall,groin injury ,DTD,9044
1912,Zach Bogosian,lower body injury ,DTD,9044
1913,Zach Parise,back injury ,DTD,9044
1914,Johnny Oduya,lower body injury ,DTD,9045
1915,Tanner Kero,undisclosed ,2,9046
1916,Nick Ritchie,lower body injury ,DTD,9046
1917,Cal Clutterbuck,lower body injury ,493,9046
1918,Kevin Fiala,upper body injury ,DTD,9046
1919,Mikael Granlund,groin injury ,DTD,9046
1920,Nick Schmaltz,upper body injury ,DTD,9047
1921,Kevan Miller,hand injury ,DTD,9060
1922,Landon Ferraro,hip injury ,DTD,9065
1923,Brad Marchand,upper body injury ,DTD,9056
1924,Radek Faksa,lower body injury ,508,9056
1925,Tyler Pitlick,undisclosed ,DTD,9056
1926,Ryan Miller ,lower body injury ,DTD,9060
1927,Darren Helm,undisclosed ,DTD,9065
1928,Martin Frk,groin injury ,DTD,9065
1929,Jake Dotchin,undisclosed ,DTD,9071
1930,Evgeni Malkin,upper body injury ,DTD,9071
1931,Ryan McDonagh,strained abdominal muscle ,DTD,9071
1932,Semyon Varlamov,illness ,DTD,9072
1933,Michal Kempny,illness ,DTD,9072
1934,Evgenii Dadonov,shoulder injury ,out indefinitely,9077
1935,Jared Spurgeon,illness ,DTD,9077
1936,Ryan Murray James,upper body injury ,712,9078
1937,Jared Spurgeon,groin injury ,DTD,9080
1938,Jakob Silfverberg,upper body injury ,DTD,9081
1939,Roberto Luongo,lower body injury ,DTD,9085
1940,Henrik Lundqvist,flu ,DTD,9085
1941,Nathan Beaulieu,illness ,349,9085
1942,Joseph Blandisi,upper body injury ,DTD,9085
1943,Jaromir Jagr,lower body injury ,DTD,9086
1944,Nail Yakupov,illness ,DTD,9091
1945,Sven Baertschi,fractured jaw ,out indefinitely,9091
1946,Nick Ritchie,upper body injury ,DTD,9091
1947,Dustin Byfuglien,lower body injury ,out indefinitely,9091
1948,Kyle Brodziak,undisclosed injury ,DTD,9096
1949,Nino Niederreiter,ankle injury ,DTD,9103
1950,Byron Froese,illness ,DTD,9107
1951,David Schlemko,flu ,114,9107
1952,Brad Richardson,upper body injury ,DTD,9107
1953,Radim Vrbata,illness ,DTD,9107
1954,Kris Letang,lower body injury ,DTD,9107
1955,Kevan Miller,illness ,DTD,9148
1956,Martin Jones,lower body injury ,DTD,9151
1957,Nate Thompson,lower body injury ,DTD,9151
1958,Mark Barberio,lower body injury ,DTD,9156
1959,Alex Goligoski,illness ,DTD,9156
1960,Cory Schneider,groin injury ,DTD,9156
1961,Brian Elliott,lower body injury ,DTD,9156
1962,Dmitry Kulikov,concussion ,DTD,9156
1963,Matt Hunwick,upper body injury ,DTD,9156
1964,Mike Smith  1982-03-,groin injury ,DTD,9175
1965,Erik Haula,flu ,DTD,9175
1966,Matt Grzelcyk,lower body injury ,DTD,9191
1967,Loui Eriksson,placed on IR with fractured ribs ,out for season,9191
1968,Colin Wilson,concussion ,16,9194
1969,Ben Bishop,lower body injury ,DTD,9196
1970,Nick Seeler,general soreness / biceps injury ,DTD,9196
1971,Bryan Rust,concussion ,out indefinitely,9199
1972,Dominik Simon,lower body injury ,out indefinitely,9199
1973,Kyle Okposo,concussion ,out indefinitely,9199
1974,Marc Methot,lower body injury / hand injury ,DTD,9199
1975,Mattias Janmark-Nylen  Mattias Janmark,illness ,411,9199
1976,Phillip Danault,headaches ,DTD,9202
1977,Frederik Andersen,upper body injury ,DTD,9205
1978,Calle Jarnkrok,upper body injury ,53,9205
1979,Joakim Ryan,upper body injury ,DTD,9207
1980,Vladimir Tarasenko,upper body injury ,366,9208
1981,David Backes,right leg injury ,DTD,9208
1982,Brooks Orpik,lower body injury ,DTD,9208
1983,Braden Holtby,knee injury ,222,9212
1984,Carl Gunnarsson,torn ACL in knee ,299,9214
1985,Stephen Johns  1992-04-,upper body injury ,out for season,9220
1986,Jordan Schmaltz,upper body injury ,out for season,9221
1987,Mike Reilly ,undisclosed injury ,DTD,9221
1988,Cam Fowler,shoulder injury ,out for season,9224
1989,John Gibson  1993-07-,upper body injury ,DTD,9224
1990,Zack Kassian,neck injury ,DTD,9429
1991,Matt Martin Bryan,upper body injury ,DTD,9418
1992,Patrick Eaves,back spasms ,DTD,9427
1993,Brett Pesce,lower body injury ,DTD,9427
1994,Darren Helm,upper body injury ,65,9433
1995,Tyler Pitlick,illness ,395,9433
1996,Colin White,undisclosed ,DTD,9438
1997,Mark Borowiecki,fractured hand ,80,9438
1998,Devan Dubnyk,illness ,DTD,9438
1999,Alex Lyon,lower body injury ,DTD,9439
2000,Haydn Fleury,concussion ,out indefinitely,9439
2001,Anthony Duclair,undisclosed ,DTD,9443
2002,Adrian Kempe,upper body injury ,DTD,9447
2003,Jason Pominville,undisclosed ,DTD,9447
2004,Jesper Bratt,illness ,DTD,9448
2005,Connor McDavid,illness ,DTD,9448
2006,Ryan Spooner,illness ,DTD,9448
2007,Jordan Staal,upper body injury ,DTD,9451
2008,Alexander Kerfoot  Alex Kerfoot,upper body injury ,DTD,9456
2009,Erik Gustafsson  1992-03-,illness ,DTD,9456
2010,Joel Edmundson,upper body injury ,DTD,9456
2011,Alex Galchenyuk,lower body injury ,DTD,9456
2012,Jason Dickinson,back spasms ,DTD,9468
2013,Juuse Saros,illness ,DTD,9506
2014,Ben Harpur,shoulder injury ,DTD,9506
2015,Zach Sanford,concussion ,DTD,9513
2016,Mark Barberio,head injury ,DTD,9529
2017,Tomas Tatar,illness ,DTD,9532
2018,Thatcher Demko,knee injury ,DTD,9532
2019,Jayce Hawryluk,lower body injury ,DTD,9534
2020,Jamie Benn,upper body injury ,DTD,9552
2021,Mats Zuccarello,fractured arm ,out indefinitely,9552
2022,Alexander Steen  Alex Steen,illness ,2,9553
2023,Kevan Miller,upper body injury ,DTD,9553
2024,John Quenneville,upper body injury ,15,9553
2025,Oliver Kylington,undisclosed ,DTD,9553
2026,MacKenzie Weegar,lower body injury ,DTD,9553
2027,Trevor Daley,back injury ,DTD,9553
2028,Drake Caggiula,concussion ,DTD,9555
2029,Riley Nash,undisclosed ,DTD,9558
2030,Derek Grant,upper body injury ,DTD,9558
2031,Nick Ritchie,lower body injury ,DTD,9558
2032,Mike Green David,viral illness ,out for season,9560
2033,Tomas Tatar,flu ,DTD,9563
2034,Kevin Rooney,illness ,DTD,9563
2035,Dylan Larkin,strained neck ,DTD,9564
2036,Markus Nutivaara,illness ,DTD,9574
2037,Michael Raffl,illness ,DTD,9576
2038,Nick Ritchie,upper body injury ,DTD,9578
2039,Ryan Getzlaf,upper body injury ,DTD,9578
2040,Sam Bennett,upper body injury ,DTD,9578
2041,Danton Heinen,illness ,DTD,9588
2042,Nolan Patrick,upper body injury ,out for season,9590
2043,Anton Stralman,undisclosed ,out for season,9592
2044,David Krejci,lower body injury ,2,9772
2045,Nate Schmidt,lower body injury ,out indefinitely,9772
2046,Noah Dobson,undisclosed ,10,9772
2047,Corey Perry,foot injury ,out indefinitely,9772
2048,Calvin de Haan,groin injury ,DTD,9773
2049,Tim Heed,upper body injury ,DTD,9773
2050,Roman Polak,fractured sternum ,out indefinitely,9773
2051,Robert Thomas,upper body injury ,12,9774
2052,Sam Bennett,lower body injury ,DTD,9789
2053,Vladimir Tarasenko,left shoulder injury ,DTD,9794
2054,Patrik Laine,lower body injury ,DTD,9798
2055,Anthony Cirelli,lower body injury ,DTD,9798
2056,Marc-Andre Fleury,flu ,DTD,9782
2057,Nick Leddy,lower body injury ,DTD,9782
2058,Noel Acciari,lower body injury ,DTD,9786
2059,Trevor Lewis,lower body injury ,DTD,9789
2060,Marc Staal,surgery on ankle ,out indefinitely,9789
2061,Vladimir Sobotka,knee injury ,DTD,9789
2062,Mario Ferraro,undisclosed ,DTD,9789
2063,Pavel Francouz,concussion ,5,9794
2064,Erik Haula,knee injury ,33,9798
2065,Tage Thompson,shoulder injury ,out indefinitely,9798
2066,Steven Stamkos,lower body injury ,DTD,9802
2067,Cody Goloubef,undisclosed ,DTD,9802
2068,Melker Karlsson,upper body injury ,DTD,9802
2069,Alex Killorn,lower body injury ,DTD,9810
2070,Braydon Coburn,lower body injury ,out indefinitely,9810
2071,Mikael Granlund,lower body injury ,DTD,9824
2072,Mario Ferraro,upper body injury ,DTD,9827
2073,Jason Zucker,fractured fibula in right leg ,out indefinitely,9827
2074,Tyler Bozak,illness ,DTD,9828
2075,Derek Grant,sprained AC joint in shoulder ,out indefinitely,9828
2076,Jacob Larsson,upper body injury ,DTD,9828
2077,Matt Niskanen,illness ,DTD,9831
2078,Scott Harrington,illness ,DTD,9837
2079,Jeff Skinner,upper body injury ,out indefinitely,9838
